ident,latitude,longitude
VUREM,4.365998253,-39.05278627
VOVLI,-19.58240218,-38.19330701
MCA06,-22.33779722,-41.76389722
MOLSU,-21.83983333,-42.20483333
GEVGA,-22.16266389,-46.08985833
MG114,-23.46709167,-51.97097222
ISVED,-25.12898889,-53.73614722
EGBAM,-30.17039167,-51.28629167
OPSAS,-21.70583333,-52.76861111
ILRES,-13.1565,-62.35333333
ISAXA,-0.60105,-67.02687222
DADKI,-7.713166667,-72.54716667
NIDSI,-17.58283333,-48.2705
OGNOL,-20.66433333,-54.86166667
ASALU,-22.99955556,-43.62575
SJ022,-22.64235297,-46.16984764
ASAPA,-3.021,-69.71433333
MG119,-23.36338056,-51.97158333
VH001,-12.96443333,-60.17216389
SILIG,-5.329947222,-48.425825
ZM002,-21.37716667,-43.0265
IT002,-18.54009444,-49.18249722
TCA11,-8.474038889,-63.8088
SADOR,-9.835722222,-48.57922222
ARUBI,-17.15933333,-41.46683333
ES022,-22.66066111,-41.93425556
FS019,-22.09413889,-41.05441667
MCA03,-22.38248333,-41.79396667
BU014,-22.36660278,-49.25245833
TCA13,-16.6043,-49.27
MUGEB,-31.81802778,-52.4848
CJ014,-6.1124575,-49.95793158
PUPKI,-1.5675,-47.83816667
GEMOD,-25.56283056,-49.97029167
ISIVA,-2.383333333,-59.9905
TIRNO,-29.89074444,-51.81888056
VG369,-21.42627778,-45.40641667
GP004,-21.82387778,-48.33246667
BODAD,-19.64249167,-44.22415556
JAUNT,-29.446,-51.5835
RP007,-21.38266667,-47.69433333
MN011,-3.168513889,-60.07664444
GEKOT,-19.87319722,-51.860575
GR044,-23.29744444,-46.37537222
LOLAL,-19.40849127,-41.89165074
CA007,-25.19493411,-53.28732978
YS011,-21.80739739,-47.23436967
FROTI,-10.277,-38.38766667
TCA28,-24.0306,-44.0098
AT008,-9.776069444,-56.07626389
UTBIT,-27.50880833,-49.89134167
TCA88,-29.0611,-50.537
GNV17,-16.41719722,-49.329325
SR363,-20.88208333,-49.62802778
KOVED,-20.09660833,-44.60899722
UDUSU,-23.9442225,-46.28945406
GL084,-22.80105556,-43.45629167
DABEK,-4.314888889,-37.70434444
ME044,-22.26861667,-41.71343889
OPVUB,-23.05093889,-43.77676111
MUMEB,-30.08685278,-51.784
AN011,-16.08541667,-48.84461111
EDRIR,-26.83436389,-53.23231389
PUNPA,-9.418166667,-67.35366667
CR006,-18.987,-57.57916667
DOBDA,4.538333333,-60.13
GP027,-21.63545278,-48.49013611
NINDI,-19.51333333,-45.76833333
ARVIR,-20.32866667,-40.31166667
NUXEL,-22.28308611,-45.82190833
KIMUS,-19.85127778,-43.62596667
AR362,-10.97441667,-37.35141667
LJS02,-27.77631389,-50.28564722
KIGIL,-20.29728611,-54.41409722
IMBIM,-27.22471944,-52.03888056
PUMUS,-21.97353889,-48.41993889
KP132,-23.54416667,-46.50310278
ELION,-22.205,-50.97466667
RELES,0.383,-30.5415
VT093,-20.32357222,-40.27158333
DOVDI,-8.578397222,-63.780025
IH014,-4.036966667,-55.842925
NF021,-26.81869167,-48.55144722
CERVA,-22.73873333,-48.05237222
XUXAK,-0.190936111,-66.79873889
CZ017,-7.596833333,-72.83066667
PG006,-25.22055,-50.37750556
VG361,-21.83436111,-45.57397222
RAXOT,-12.218225,-37.24932778
NF108,-26.64322222,-48.54233333
PEQUE,-21.82831228,-41.09314347
MK004,-16.68566667,-44.00116667
BUVAG,-11.35814524,-61.44244992
LUTPO,-23.4763,-46.62622222
VAKAM,-20.05376269,-39.65961967
DIDAB,-23.00871667,-47.12904444
DOMPA,-29.4135,-51.09783333
SP108,-23.71463889,-46.44899167
ASBIT,-19.91985833,-43.33301389
JH018,-23.47759722,-47.12328333
TCA30,-24.5352,-47.5971
ISVUL,-22.85286389,-42.96412222
ENRUB,-20.63390833,-54.37180556
AKRAP,-23.354,-51.06933333
PALIG,-8.283219444,-38.43721389
ISALA,-31.67616667,-54.44633333
KP157,-23.161925,-46.74986944
NF161,-27.00142222,-48.62364167
ARVUS,-30.53923056,-51.52723889
DETIN,-16.81029722,-49.33628333
OSARO,-1.087666667,-60.26787222
ATILU,-27.56695833,-50.42894167
NF104,-26.92413333,-48.75603056
BE393,-1.5965,-48.56233333
MCA01,-22.67178056,-41.69495
SUBKA,-7.983302778,-35.05635278
SINOL,1.504,-51.30333333
MAPGI,-9.829652639,-67.7431305
USVEL,-25.47608056,-48.839375
BOLAR,0.082866667,-51.02219167
SILEP,-28.26516667,-52.38846111
PUKUT,-11.32301111,-55.53093611
NIRKU,-27.81459722,-47.01169167
SATMA,-8.298833333,-34.86633333
GP019,-21.62104444,-48.447875
UKALS,-29.60149722,-50.65111389
PO001,-26.26868333,-52.77556111
MEBNU,0.503513889,-39.93318611
GM004,-10.61569444,-65.32648333
KG009,-7.427555556,-35.67013889
CUB05,-19.01453056,-57.66159722
SP107,-23.60000833,-46.61005556
MEBDA,-22.48983333,-40.62833333
VAKIK,-9.354486111,-35.68816667
NENEN,3.017105556,-60.57275833
EMTUP,-10.0145,-30.09066667
GIKRA,-1.7195,-61.14
EVRAL,-23.21704722,-47.25256389
SEBTI,-27.59690833,-48.46163889
ENPED,-4.421325,-59.46910278
PC006,-21.78224167,-46.39459722
ISPAN,-22.99335278,-47.89697222
SAPGO,5,-45
ILSAT,-2.034833333,-48.3175
ARVIS,-25.83789167,-49.07939444
CXS09,-29.26343333,-51.25906667
ALCIR,-29.99118889,-51.39276944
GR216,-23.40690833,-47.26791667
PMS11,-10.31593611,-48.31844444
MAKIT,-22.12016667,-40.55316667
GETVU,-22.59309983,-43.89007189
VUBOP,-22.76996667,-43.130575
RD011,-16.494,-54.72333333
MOXUG,-3.801344444,-49.72131944
NM008,-28.24349722,-53.92756389
PADUL,-26.63863513,-51.54894993
FI376,-25.69289444,-54.32586944
KOMDU,-19.72883333,-40.73466667
UGURA,-32.59020514,-53.32285508
HT009,-3.317375,-52.463
BR079,-15.856575,-47.819525
SILAB,-5.159802778,-43.05068611
EPKAT,-3.718955556,-66.84801944
ULD01,-18.87513056,-48.2208
TOBUX,-2.508166667,-55.47866667
LJ006,-27.87598333,-50.08148889
USTUN,-27.62104167,-48.96264167
PALOX,-25.21370278,-52.86440278
PAMAN,-21.89783056,-39.77282778
CN422,-17.68461111,-48.50927778
MUGEX,-22.0725,-40.82283333
PA053,-30.25710556,-51.52937778
FL002,-27.67581389,-48.52963056
OPLOX,-19.86066667,-41.03333333
PAPES,-14.49133889,-49.94889889
ANBIX,2.185166667,-60.62316667
REINA,-18.438,-45.57133333
ESNUX,-30.1975,-51.10316667
PCL06,-21.84301944,-46.57731944
BR004,-15.78283333,-48.142
LITOK,-22.28383056,-55.85834722
PO013,-26.06891944,-52.46217222
LI032,-22.68973333,-40.24741667
MORPI,-21.30555556,-49.89027778
JP362,-6.962194444,-35.13583333
SINAG,-22.82296222,-42.09648972
KOLBU,-23.22183333,-47.43383333
MNS07,-2.807544444,-60.15870278
JU016,-6.780333333,-39.15933333
CO018,-29.72939444,-51.47734722
KOLSU,-29.83508889,-51.81549444
ROKIR,-25.43803056,-52.97351389
DAGOV,-23.43733333,-45.63530556
NF131,-27.03828333,-48.912475
EDLUG,-10.08088333,-54.08944722
MASVO,-15.80888889,-53.32027778
URERA,-15.86958056,-48.02113611
BUXEB,-13.77347778,-55.39310833
RJ031,-22.88266667,-43.35433333
NM007,-28.39773611,-53.96089167
AT002,-9.956566667,-56.13629167
GR028,-23.44344167,-46.51730556
ISTEN,-30.26379722,-51.239225
FL981,-27.75406667,-48.86904167
MG136,-23.61414444,-52.22779444
UA001,-0.218777778,-67.04953333
OBDAR,-2.743691667,-67.45042778
ST016,-23.92720556,-46.14746111
VH009,-12.49531667,-60.14982222
PALMO,-14.28916667,-45.91333333
SP102,-23.72083889,-46.49272778
LI002,-22.57061667,-40.31294444
UDIGI,-19.17016389,-48.66564722
EVPUK,-15.19261667,-47.08007778
EDPUR,-22.51612222,-40.41420556
OREXO,-3.061686111,-60.39806944
RWY03,3.847583333,-51.79850833
PV386,-8.502666667,-64.00966667
ISURI,-6.212166667,-45.24266667
OGTID,-8.392586111,-39.80929722
ME007,-22.20987778,-41.67206389
OBKIN,-23.5456573,-45.339286
SI003,-11.74171944,-55.44231944
CC006,-9.370077778,-54.78861111
FN373,-3.864472222,-32.29319444
SIDAK,-19.63916667,-58.20783333
